brand,product_name,product_url,image_url,price,currency,availability,variant_options,type,brushing_modes,battery_type,battery_life,intensity_levels,timer,brush_head_compatibility,smart_features,pressure_sensor,uv_sanitizer,travel_case,water_resistance,rating_value,review_count,description
usmile,usmile Replacement Guidance Tip Nozzle—C-shaped nozzle guides water,https://usmile.us/en-ca/products/usmile-replacement-water-flosser-nozzles,http://usmile.us/cdn/shop/files/C10_nozzle_3.webp,23.74,CAD,InStock,10pc:  | Quantity: 2pc: 2pc,,clean | gum care | sensitive,,"02
day",adjustable,,,app integration | coaching/tracking,true,,,,,,"Choose from four flossing modes with adjustable water pressure to fit your needs. The C10 remembers your last-used mode and has an easy-to-use power button that responds to both light taps and full presses, giving you flexible control."
usmile,"usmile Replacement Standard Nozzle—Delivers focused stream
Sale",https://usmile.us/en-ca/products/usmile-replacement-standard-nozzle,http://usmile.us/cdn/shop/files/C10_nozzle_5.webp,23.74,CAD,InStock,10pc:  | Quantity: 2pc: 2pc,,clean | gum care | sensitive,,"02
day",adjustable,,,app integration | coaching/tracking,true,,,,,,"Choose from four flossing modes with adjustable water pressure to fit your needs. The C10 remembers your last-used mode and has an easy-to-use power button that responds to both light taps and full presses, giving you flexible control."
usmile,usmile Replacement Dual-Flow Nozzle — Jet and Spray for a Deeper Clean,https://usmile.us/en-ca/products/usmile-replacement-dual-flow-nozzle,http://usmile.us/cdn/shop/files/77ad065df0cdbabb08cf4475f046f61b.webp,27.94,CAD,OutOfStock,10pc:  | Quantity: 2pc: 2pc,,clean | gum care | sensitive,,"02
day",adjustable,,,app integration | coaching/tracking,true,,,,,,"Choose from four flossing modes with adjustable water pressure to fit your needs. The C10 remembers your last-used mode and has an easy-to-use power button that responds to both light taps and full presses, giving you flexible control."
usmile,"usmile Water Flosser Nozzle Storage Case
Sale",https://usmile.us/en-ca/products/usmile-replacement-nozzle-box,http://usmile.us/cdn/shop/files/20250428-101921.jpg,27.94,CAD,InStock,,,,,"02
day",N/A,,,coaching/tracking,,,,,,,"Organized Storage: Keeps water flosser nozzles neatly organized and easily accessible. Compact Space-Saving: Designed to fit perfectly in small spaces, ideal for home or travel use. Durable Material: Made from high-quality, sturdy material to ensure long-lasting protection for your nozzles. Protective Design: Prevents dust and damage, ensuring your nozzles remain in optimal condition. Easy to Use: Simple, user-friendly design for easy access to your nozzles whenever needed.Portable: Lightweight and compact, perfect for travel or everyday use. Add Any 5 accessories Items to Your Cart, 1 of them will instantly become FREE, automatically!"
usmile,usmile Waterproof Travel Toiletry Bag,https://usmile.us/en-ca/products/usmile-waterproof-travel-toiletry-bag,http://usmile.us/cdn/shop/files/45.webp,27.94,CAD,InStock,Blue:  | Option: White,,white,,"02
day",N/A,,,coaching/tracking,,,,water-resistant,,,"Waterproof & Durable – Protects from leaks and splashes. Perfect Fit – Holds toothbrush, flosser & accessories. Compact & Travel-Ready – Easy to pack and carry. Secure Zipper – Keeps items safe and organized. Multi-Purpose Use – Great for travel, gym, or home."
usmile,usmile C10 Charger Cable,https://usmile.us/en-ca/products/c10-charger-cable,http://usmile.us/cdn/shop/files/ChargerCable.jpg,11.17,CAD,InStock,,,,,95 days,N/A,,,coaching/tracking,,,,,,,"Reliable Charging: One full charge lasts up to 95 days No Mess: Prevents dirt and buildup Durable: High-quality, long-lasting design Tangle-Free: Hassle-free, smooth connection Add Any 5 accessories Items to Your Cart, 1 of them will instantly become FREE, automatically!"
usmile,usmile C10 Silicone Water Intake Tube,https://usmile.us/en-ca/products/usmile-c10-silicone-water-intake-tube,http://usmile.us/cdn/shop/files/708b87904b8b9e6a64745973a267287f.jpg,20.95,CAD,InStock,,,clean,,95 days,N/A,,,coaching/tracking,true,,,,,,"• Hygienic & Safe：Fresh tubes keep your flossing clean and bacteria-free. • Easy to Replace：Quick, tool-free installation in seconds. • Maintain Performance：Ensures strong water pressure and smooth operation. Add Any 5 accessories Items to Your Cart, 1 of them will instantly become FREE, automatically!"
usmile,"Digital Gift Card
Sale",https://usmile.us/en-ca/products/digital-gift-card,http://usmile.us/cdn/shop/files/GiftCard.webp,13.98,CAD,InStock,$200.00: Most Recent | Option: $10.00,,,rechargeable,,N/A,,,app integration | coaching/tracking,,,,,,6,"The Perfect Gift for Your Loved Ones – or For Yourself! 💙 Recharge $100 for just $95 + Get a Free Shipping Coupon (US only) 💙 Struggling to find the perfect gift? Let them choose with our Electric Toothbrush Gift Card. 💙 Delivered straight to your inbox – no wrapping required! You'll receive an email with a special gift card code that can be redeemed at checkout. Forward it, print it out, or keep it for yourself (we won’t judge). 💙 Whether they want to upgrade their smile with one of our Electric Toothbrushes, stock up on accessories, or grab a Starter Kit, this gift card has them covered. 💙 No hidden fees, no expiration date, and can be used on multiple orders – because choosing their perfect product should be stress-free. Note: This gift card is valid for store orders only. Purchase ..."
usmile,"Extra Shipping Fee / Price Adjustment (Do Not Purchase Without Contact)
Sale",https://usmile.us/en-ca/products/extra-shipping-fee-price-adjustment-do-not-purchase-without-contact,http://usmile.us/cdn/shop/files/bbc1ce592aeff3175d3b102189941546.png,0.01,CAD,InStock,,sonic,clean | gum care,rechargeable,5 hours,N/A,,,app integration | coaching/tracking,,,,IPX8,,,"*A toothbrush earns the ADA Seal when the manufacturer proves its safety and effectiveness in removing plaque and reducing gingivitis. *TÜV is a trusted partner of choice for safety, security and sustainability solutions.sustainability solutions."
usmile,"Y10 PRO Electric Toothbrush x C10 Portable Water Flosser
Sale",https://usmile.us/en-ca/products/y10-pro-electric-toothbrush-x-c10-portable-water-flosser,http://usmile.us/cdn/shop/files/Heritage-2.webp,181.66,CAD,InStock,Inkstone Black: Blue | Inkstone Black: Blue | Inkstone Black: Default Kit | Inkstone Black: One Set - 2pcs | C10 Color: Blue: Blue,sonic,clean | white | gum care | sensitive | deep clean,,"02
day",N/A,,,coaching/tracking,,,,,,,"Watch your oral care game level up with AI brushing, jet flossing, and year-long power – the dynamic duo that makes dentists’ advice actually doable."
usmile,"usmile Classic Travel Toiletry Bag—Y20 PRO AI Toothbrush x C10 Water Flosser
Sale",https://usmile.us/en-ca/products/y20-pro-ai-electric-toothbrush-x-c10-portable-water-flosser-best-deal,http://usmile.us/cdn/shop/files/Classic-1.webp,258.52,CAD,InStock,Y20 PRO Color: White: White | C10 Color: Inkstone Black: Inkstone Black,,clean | white | gum care | sensitive | deep clean,,"02
day",adjustable,,,app integration | real-time feedback | coaching/tracking,true,,,water-resistant,,,Experience the future of oral care with AI-powered cleaning that adapts to your unique needs. Clinically approved to remove up to 25x more plaque in just 7 days
usmile,"usmile Exclusive Travel Toiletry Bag—Y20 PRO Electric Toothbrush x C10 Water Flosser
Sale",https://usmile.us/en-ca/products/usmile-exclusive-travel-toiletry-bag-save,http://usmile.us/cdn/shop/files/Exclusive_bundle-_-jpg.webp,307.44,CAD,InStock,Y20 PRO Color: White: White | C10 Color: Blue: Blue,,clean | white | gum care | sensitive | deep clean,,"02
day",adjustable,,,app integration | real-time feedback | coaching/tracking,true,,,water-resistant,,,Experience the future of oral care with AI-powered cleaning that adapts to your unique needs. Clinically approved to remove up to 25x more plaque in just 7 days
usmile,"usmile P20 PRO Sonic Electric Toothbrush & C10 Water Flosser Pack
Sale",https://usmile.us/en-ca/products/usmile-p20-pro-oscillation-vibration-sonic-toothbrush-c10-water-flosser,http://usmile.us/cdn/shop/files/P10_PRO_C10.jpg,209.61,CAD,InStock,White:  | Option: Blue,sonic,clean | white | polish | gum care | deep clean,rechargeable,"02
day",adjustable,,,app integration | real-time feedback | coaching/tracking,true,,,IPX8,,,"Better Together, Better Price – Save more by buying this bundle compared to purchasing each product separately. Complete Oral Care Routine – Combine the P20 PRO sonic toothbrush with the C10 water flosser for a thorough cleaning experience that covers brushing and flossing. Effective Plaque Removal – The P20 PRO uses oscillation vibration technology to remove plaque and polish teeth gently but effectively. Deep Clean Between Teeth – The C10 portable water flosser targets hard-to-reach areas, flushing away food debris and bacteria for healthier gums. Bonus Gift Included – Enjoy an extra gift with your purchase, adding even more value to this high-performance oral care set. Exceptional Value – This bundle offers a cost-effective solution to elevate your daily oral hygiene. What's included: P ..."
usmile,"Y20 PRO AI Electric Toothbrush x C10 Portable Water Flosser
Sale",https://usmile.us/en-ca/products/y20-pro-ai-electric-toothbrush-x-c10-portable-water-flosser,http://usmile.us/cdn/shop/files/C10_Y20_PRO_APP_08bba6ca-5402-4c8f-8708-5cea89af1ee2.jpg,356.33,CAD,InStock,Apply 30% coupon: Pink / Blue | Apply 30% coupon: 2pc | Apply 30% coupon: White / White | Apply 30% coupon: White / Blue | Apply 30% coupon: 2pc | Y20 PRO Color: Pink: Pink | C10 Color: Blue: Blue,,clean | white | gum care | sensitive | deep clean,,"02
day",adjustable,,,app integration | real-time feedback | coaching/tracking,true,,,,,,Experience the future of oral care with AI-powered cleaning that adapts to your unique needs. Clinically approved to remove up to 25x more plaque in just 7 days
usmile,"usmile Water Flosser Toiletry Kit
Sale",https://usmile.us/en-ca/products/usmile-water-flosser-toiletry-kit,http://usmile.us/cdn/shop/files/2_57e31e5a-a2d0-4575-8bbc-fb4669b30091.webp,195.64,CAD,InStock,C10 Bundle Deals: Duo Pack: Duo Pack,,clean | white | gum care | sensitive,,"02
day",adjustable,,,coaching/tracking,true,,,water-resistant,,,"Convenient, all-in-one kit designed for couples or families, featuring a stylish blue toiletry bag for easy brushing and flossing on the go."
usmile,"usmile Y10 PRO Electric Toothbrush with Missed Spots Guidance - Bundle
Sale",https://usmile.us/en-ca/products/usmile-y10-pro-electric-toothbrush-with-missed-spots-guidance-bundle,http://usmile.us/cdn/shop/files/2_Y10_PRO.jpg,260.84,CAD,InStock,Two Set - 4pcs: One Set - 2pcs | Two Set - 4pcs: 2pc | Two Set - 4pcs: Blue | Two Set - 4pcs: Blue | Two Set - 4pcs:  | Option: One Set - 2pcs,sonic,clean | white | gum care,rechargeable,"02
day",N/A,,,app integration | coaching/tracking,true,,,IPX8,,,"Designed to meet the needs of most users, providing a complete brushing experience. One set includes two Y10 PRO electric toothbrushes, perfect for individual use or sharing. Two sets provide four Y10 PRO electric toothbrushes, ideal for families or gifting. Both options offer the advanced Missed Spots Guidance feature, ensuring a thorough and effective clean every time."
usmile,"usmile Couple Sets Electric Toothbrush & Water Flosser +Bonus Accessories!
Sale",https://usmile.us/en-ca/products/usmile-couple-sets-in-electric-toothbrush-water-flosser-bonus-accessories,http://usmile.us/cdn/shop/files/2_Y10_PRO_C10.jpg,419.24,CAD,InStock,,,clean | white | gum care | sensitive | deep clean,,"02
day",N/A,,,coaching/tracking,,,,,,,Two complete sets for couples who want smart brushing and fresh breath—plus extra bonus gifts for added value.
usmile,"usmile Family Packs – Toothbrush for Adult & Kids+Flosser+Accessories
Sale",https://usmile.us/en-ca/products/usmile-family-packs-toothbrush-for-adult-kids-flosser-accessories,http://usmile.us/cdn/shop/files/2_Y10_PRO_C10_Q10.jpg,558.99,CAD,InStock,,,clean | white | gum care | sensitive,,"02
day",N/A,,,coaching/tracking,,,,,,,"This all-in-one bundle includes everything your family needs for a healthier smile. Featuring two Y10PRO adult electric toothbrush, two C10 powerful water flosser, and two Q10 gentle yet effective kids’ electric toothbrush, this set is designed for both parents and children."
usmile,"usmile Y10 PRO Electric Toothbrush with Missed Spots Guidance
Sale",https://usmile.us/en-ca/collections/electric-toothbrush/products/usmile-y10-pro-smart-toothbrush,http://usmile.us/cdn/shop/files/Y10_PRO_1.png,176.99,CAD,InStock,Basic Care Pack: Default Kit | Basic Care Pack: 50 Count (Jar of 1) | Basic Care Pack: Blue | Basic Care Pack: Blue | Basic Care Pack: 2pc | Basic Care Pack: 2pc | Basic Care Pack: Most Recent | Option: Default Kit,sonic,clean | white | gum care | deep clean,rechargeable,"02
day",N/A,2-min with quadrant,,app integration | coaching/tracking,true,,,IPX8,,155,"See where plaque hides with AI-guided precision, gum-friendly pressure control, and 6-month power – all in a brush so smart, it’s like having a dentist coach your every move."
usmile,"usmile Y20 PRO Upgraded AI Electric Toothbrush
Sale",https://usmile.us/en-ca/collections/electric-toothbrush/products/usmile-y20-pro-electric-toothbrush,http://usmile.us/cdn/shop/files/Y20_PRO_1054542e-45da-4b2e-b7e4-0d492b706894.jpg,221.25,CAD,InStock,Pink: White | Pink: Default Kit | Pink: Blue | Pink: Blue | Pink: Blue | Pink: Most Recent | Option: White,,clean | white | gum care | deep clean,rechargeable,7 days,N/A,,,app integration | real-time feedback | coaching/tracking,,,,IPX8,,12,Experience the future of oral care with AI-powered cleaning that adapts to your unique needs. Clinically approved to remove up to 25x more plaque in just 7 days
usmile,"usmile P20 PRO Oscillation Vibration Sonic Toothbrush
Sale",https://usmile.us/en-ca/collections/electric-toothbrush/products/usmile-p20-pro-oscillating-vibrating-electric-toothbrush,http://usmile.us/cdn/shop/files/P20_PRO.jpg,83.84,CAD,InStock,,sonic,clean,rechargeable,5 hours,N/A,,,app integration | real-time feedback | coaching/tracking,,,,IPX8,,,"See every hidden spot surrender to the Smart Light Ring’s real-time coaching, TÜV-certified, and 3-month power – because flawless brushing should be this simple."
usmile,"usmile Q10 Kids Electric Toothbrush
Sale",https://usmile.us/en-ca/collections/electric-toothbrush/products/usmile-q10-kids-electric-toothbrush,http://usmile.us/cdn/shop/files/Kids_Toothbrush.jpg,66.37,CAD,InStock,Pink: Most Recent | Option: Blue,,clean | gum care,,,N/A,,,app integration | real-time feedback | coaching/tracking,true,,,,,10,"Watch your child develop healthy habits with real-time Smart Ring guidance, gentle gum protection, and fun, interactive stickers—all backed by dentist-approved care. Q10 turns brushing into a joyful adventure!"
usmile,Last 50 Units — Mystery Box (Electric Toothbrush),https://usmile.us/en-ca/collections/electric-toothbrush/products/mystery-box-electric-toothbrush-only-last-50-units,http://usmile.us/cdn/shop/files/8ef0ec2875c17fd22431633660d7e170_c7354c99-f666-4371-8a86-8345ca3cccfd.webp,48.91,CAD,InStock,Option: Adults Edition,oscillating,clean | gum care,rechargeable,,N/A,,,coaching/tracking,,,,,,736,"Introducing our fun and “mysterious” bundle box! Now for a LIMITED TIME only! 🎁 What’s Inside? Each Mystery Box contains: At least 1 electric toothbrush & a surprise number of replacement brush heads ✨ Guaranteed Value of $60 or More! No matter what’s inside, you’ll always receive a bundle worth $60+. We have less than 100 boxes available and they will go quickly so be sure to pick up yours today and get this incredible value! *Please note: Mystery Box will be shipped separately when you purchase the box with other products."
usmile,"usmile Y20 PRO Upgraded AI Electric Toothbrush
Sale",https://usmile.us/products/usmile-y20-pro-electric-toothbrush,http://usmile.us/cdn/shop/files/Y20_PRO_1054542e-45da-4b2e-b7e4-0d492b706894.jpg,158.32,USD,InStock,Pink: White | Pink: Default Kit | Pink: Blue | Pink: Blue | Pink: Blue | Pink: Most Recent | Option: White,,clean | white | gum care | deep clean,rechargeable,7 days,N/A,,,app integration | real-time feedback | coaching/tracking,,,,IPX8,,12,Experience the future of oral care with AI-powered cleaning that adapts to your unique needs. Clinically approved to remove up to 25x more plaque in just 7 days
usmile,"usmile P20 PRO Oscillation Vibration Sonic Toothbrush
Sale",https://usmile.us/products/usmile-p20-pro-oscillating-vibrating-electric-toothbrush,http://usmile.us/cdn/shop/files/P20_PRO.jpg,59.99,USD,InStock,,sonic,clean,rechargeable,5 hours,N/A,,,app integration | real-time feedback | coaching/tracking,,,,IPX8,,,"See every hidden spot surrender to the Smart Light Ring’s real-time coaching, TÜV-certified, and 3-month power – because flawless brushing should be this simple."
